filename,x,y,width,height,opaque_pixels
face-detail-01.png,1379,127,135,148,12471
head-side.png,15,23,613,459,143119
head-front.png,621,10,384,455,86098
head-back.png,1010,12,353,470,82999
face-detail-02.png,1366,279,142,53,1822
face-detail-03.png,1365,343,140,60,2830
face-detail-04.png,1390,410,76,51,1666
expression-01.png,1099,504,35,35,269
expression-02.png,1122,508,148,53,1259
expression-03.png,1299,508,40,40,425
expression-04.png,1363,513,122,43,1200
body-shell.png,46,474,334,222,47000
small-head-side.png,434,526,234,144,21730
tail-curl.png,672,491,222,214,21523
neck-piece.png,903,563,207,127,10689
expression-05.png,1113,560,205,69,5025
expression-06.png,1366,569,119,44,1562
expression-07.png,1144,628,165,88,6609
expression-08.png,1358,621,132,91,5446
spike-01.png,26,704,204,179,11424
spike-02.png,126,688,257,190,13515
spike-03.png,335,705,146,164,7865
spike-04.png,463,695,158,158,8161
spike-05.png,589,752,98,105,3433
spike-06.png,676,760,69,94,2330
scale-01.png,1349,732,125,83,4340
scale-02.png,1343,808,90,80,2889
scale-03.png,1423,818,56,63,1265
spike-cluster-01.png,760,725,282,289,33728
spike-cluster-02.png,1081,727,249,286,31052
spike-07.png,21,866,110,128,4872
spike-08.png,120,811,212,190,9964
spike-09.png,213,887,129,113,5142
spike-10.png,314,865,137,130,5792
spike-11.png,420,850,147,143,6998
spike-12.png,538,870,99,100,3422
spike-13.png,625,874,83,93,2622
spike-14.png,697,874,77,83,1971
scale-04.png,1343,877,71,64,1700
scale-05.png,1423,878,58,64,1326
scale-06.png,1339,941,53,58,1022
scale-07.png,1389,948,43,50,642
scale-08.png,1431,942,52,56,971
